Station,Location,Lat_dd,Long_dd,Sand (%),Silt (%),Clay (%),pH,Organic Matter (%),Arsenic (mg/kg As),Cadmium (mg/kg Cd),Lead (mg/kg Pb),Zinc (mg/kg Zn),Contamination_Index,Mobility
Tumusla,Potosi,-20.486483,-65.619717,78.6636,18.5868,2.748,7.885599999999999,1.0148000000000001,11.089583333333332,0.6879166666666666,20.1725,115.33375000000001,0.43452981481481484,MODERATE-HIGH
Hacienda 9 de junio,Outside of Bolivia,-23.454267,-60.879767,52.173846153846156,33.441538461538464,14.384615384615385,7.800000000000001,1.8107692307692307,12.593846153846155,1.6996153846153845,18.189230769230768,87.9,0.4174647435897436,MODERATE-HIGH
Meyer Sitio 01,Outside of Bolivia,-22.7123,-62.15545,40.70733333333333,50.47933333333333,8.746666666666666,7.768,1.1046666666666667,11.179333333333334,1.5030000000000001,17.211333333333336,82.43333333333334,0.3755706666666666,MODERATE
Puente Mendez,Bolivia (Non-Mining),-19.357433,-65.173233,76.34896551724138,20.759655172413794,2.893103448275862,7.803589743589743,1.1479310344827587,14.706842105263158,0.5280263157894737,24.454736842105262,102.96815789473685,0.3716530409356725,MODERATE-HIGH
Misión La Paz - SNIH,Outside of Bolivia,-22.378139,-62.5185,52.7130985915493,43.3687323943662,3.8774647887323943,7.9885915492957755,1.1671830985915495,12.21391304347826,0.5798115942028985,21.148695652173913,91.1259420289855,0.35973011272141703,MODERATE
Chuquiago,Potosi,-21.561133,-65.647383,78.57962962962964,18.18148148148148,3.225925925925926,7.985185185185185,0.7544444444444445,11.649999999999999,0.6633076923076924,21.590384615384615,91.2973076923077,0.3562160042735043,MODERATE-HIGH
San Josecito,Bolivia (Non-Mining),-21.15235,-64.233383,69.74416666666667,26.081249999999997,4.175,7.970833333333334,1.19875,14.887272727272727,0.6462727272727272,18.103181818181817,78.24545454545455,0.34992388888888887,MODERATE-HIGH
Agropil,Outside of Bolivia,-23.169645,-61.62476,65.34,23.66,11.0,7.8999999999999995,1.2714285714285711,9.252857142857144,1.667,14.957142857142857,69.84285714285714,0.33401587301587304,MODERATE-HIGH
María Cristina,Outside of Bolivia,-22.66785,-62.208733,58.628181818181815,36.51772727272727,4.8545454545454545,8.04,0.8054545454545454,11.006896551724138,0.5261034482758621,19.30310344827586,70.02758620689654,0.31107940613026824,MODERATE
Yocalla,Potosi,-19.397275,-65.907633,55.36272727272728,38.75545454545455,5.881818181818182,7.890909090909091,1.4590909090909092,10.793636363636363,1.1156363636363638,11.557272727272727,67.5,0.3042049494949495,MODERATE
