Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Chuquiago,BCH-060,2019-04-25,16:05,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 33 40.68,65 38 51,-21.5613,-65.6475,1.001,6.0,924.0,155.2,8.59,-94.0,1082.0,0.5,19.7,6.84,105.9,198.0,1091.0,866.0,222.0,3.0,175.9,5.0,145.0,50.3,374.5,33.95,21.85,80.8,7.6,34.44,22.11,81.3,7.8,0.21,0.15,0.4,0.01,3.01,1.8,2.5,1.0,,40.0,28.0,,,1000.0,0.5,10.0,0.5,10.0,0.5,44.0,3.0,1.0,4.0,2.0,0.5,0.5,0.5,0.02,165.0,1721.0,2.0,10.0,126.0,10.0,1011.0,830.0,10.0,10.0,10.0,10.0,0.336,5294.0,1949.0,10.0,,0.001,0.0005,0.002,0.019,,,3720.72,,,,1027.03,,4549.55,,23103.6,369.37,,,2019,,1.53,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
La Angostura,BTP-090,2019-04-25,14:20,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,21 30 15.36,65 42 21.3,-21.5043,-65.7059,0.876,1.0,711.0,,9.05,-126.2,1404.0,0.7,20.9,,,15.3,1245.0,1240.0,3.0,6.0,348.1,10.0,150.0,60.4,601.3,63.99,45.36,98.3,8.0,64.88,45.86,99.1,8.1,0.64,0.49,1.7,0.26,4.52,2.2,2.5,1.0,,22.0,18.0,,,6.0,0.5,10.0,0.5,10.0,0.5,15.0,2.0,2.0,14.0,4.0,0.5,0.5,0.5,0.02,156.0,872.0,1.0,23.0,49.0,10.0,157.0,171.0,10.0,10.0,10.0,10.0,0.05,10.0,1152.0,10.0,,0.001,0.0005,0.001,0.019,,,52333.33,,,,93333.33,,51666.67,7666.67,,11333.33,,,2019,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),
Cotagaita,BCO-070,2019-04-25,11:05,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,20 49 19.32,65 39 52.08,-20.822,-65.6645,0.938,3.0,630.0,154.7,7.91,-59.7,1588.0,0.8,18.8,6.99,102.3,528.0,1891.0,1424.0,462.0,3.0,347.5,2.5,45.0,40.9,695.6,64.85,44.62,83.1,7.0,65.37,45.1,83.8,7.7,0.15,0.09,2.25,0.01,1.88,47.3,2.5,1.0,,22.0,10.0,,,1600.0,0.5,10.0,0.5,10.0,0.5,254.0,2.0,1.0,20.0,7.0,0.5,0.5,0.5,0.02,694.0,174.0,0.5,10.0,807.0,48.0,34.0,272.0,39.0,10.0,37.0,10.0,0.05,9766.0,1090.0,10.0,,0.001,0.0005,0.006,0.019,,,545.45,64.94,69.26,,1982.68,,71.43,,19636.36,1196.97,99.57,,2019,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Tumusla,BTU-080,2019-04-25,8:30,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 16.5,65 37 3.66,-20.4879,-65.6177,0.957,7.0,1461.0,152.9,8.26,-78.7,684.0,0.3,14.4,7.48,99.5,415.0,2118.0,51.0,1900.0,7.0,109.4,5.0,105.0,33.3,189.6,17.21,15.52,50.1,6.5,17.7,16.02,50.6,6.8,0.31,0.28,0.23,0.01,2.51,2.5,2.5,1.0,,0.0,0.0,,,20.0,0.5,10.0,0.5,10.0,0.5,1120.0,67.0,2.0,33.0,3.0,1.0,0.5,0.5,0.02,194.0,1620.0,2.0,10.0,1043.0,33.0,329.0,1730.0,10.0,10.0,117.0,10.0,0.276,53622.0,653.0,10.0,,0.001,0.0005,0.004,0.019,,,893.16,58.16,,,,,172.11,,28120.0,,,,2019,,0.15,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Tarapaya,BTA-050,2019-04-24,9:00,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.66,65 47 39.96,-19.4718,-65.7944,0.676,2.0,1516.0,137.7,7.44,-31.8,659.0,0.2,11.1,7.22,97.7,837.0,1135.0,474.0,659.0,7.0,142.2,2.5,45.0,38.4,188.9,40.52,9.32,41.0,9.6,41.02,9.79,42.5,9.6,0.15,0.06,15.71,0.01,0.5,10.6,10.0,15.0,,0.0,0.0,,,2.0,0.5,10.0,0.5,10.0,0.5,184.0,3.0,7.0,49.0,11.0,0.5,0.5,0.5,0.02,102.0,1010.0,0.5,10.0,3393.0,27.0,1458.0,36119.0,268.0,106.0,46.0,10.0,0.926,39046.0,244.0,55.0,,0.001,0.0005,0.0005,0.019,,83.46,54734.45,55.24,389.98,,,160.85,2201.82,,59095.6,4869.5,36.42,,2019,,1.41,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
San Antonio - Potosí,BSA-030,2019-04-24,7:45,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.46,65 48 11.94,-19.5782,-65.8033,0.512,0.0,739.0,128.8,6.47,22.7,1352.0,0.6,9.9,6.96,94.0,297.0,1302.0,998.0,301.0,11.0,159.6,2.5,25.0,113.2,557.3,30.52,19.6,177.2,25.9,31.5,19.84,179.1,26.1,0.21,0.12,34.39,0.01,4.77,37.9,55.0,85.0,,0.0,0.0,,,140.0,0.5,10.0,0.5,10.0,1.0,5640.0,64.0,463.0,46062.0,23.0,132.0,0.5,0.5,0.02,29726.0,406.0,1.0,10.0,882.0,10.0,225.0,4474.0,70.0,10.0,32.0,10.0,0.395,11157.0,72.0,30.0,,0.001,0.0005,0.0005,0.019,,96.35,,20.27,156.15,,,,,,,,,,2019,,1.33,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Potosí - Naciente río La Ribera,BNR-010,2019-04-23,17:20,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,19 35 51.42,65 43 52.44,-19.5976,-65.7312,0.105,0.0,4230.0,117.8,7.77,-50.2,236.0,0.0,12.0,6.07,94.2,2.76,142.0,136.0,1.0,19.0,49.5,5.0,100.0,3.5,6.1,15.15,2.38,8.4,3.0,15.68,2.87,9.0,3.1,0.15,0.06,0.27,0.01,4.39,4.3,2.5,1.0,,33.0,16.0,,,100.0,0.5,10.0,0.5,10.0,0.5,1293.0,11.0,10.0,3084.0,22.0,8.0,0.5,0.5,0.02,271.0,236.0,0.5,10.0,170.0,10.0,71.0,81.0,10.0,10.0,10.0,10.0,0.05,10.0,26.0,10.0,,0.001,0.0005,,,,,,,,,,,61000.0,,,,,,2019,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2019-04-23,12:50,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 7 56.16,65 34 11.88,-19.1323,-65.57,0.943,0.0,1616.0,1474.0,8.5,-93.9,619.0,0.2,20.7,6.38,99.5,1650.0,2381.0,394.0,1984.0,2.0,203.8,5.0,150.0,8.6,155.7,37.01,26.72,14.7,6.5,37.59,27.16,15.1,6.6,0.15,0.09,0.28,0.01,1.13,5.0,2.5,1.0,,0.0,0.0,,,4000.0,0.5,10.0,0.5,10.0,3.0,4817.0,25.0,563.0,995.0,1.0,5.0,3.0,0.5,0.02,5271.0,62.0,0.5,10.0,838.0,10.0,44.0,167.0,10.0,10.0,30.0,10.0,0.3,25021.0,10.0,10.0,,0.001,0.0005,0.0005,0.019,,,,11.84,,,,,,,9954.64,,,,2019,,0.15,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2019-04-23,11:40,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 56.7,65 34 22.08,-19.1324,-65.5728,1.203,9.0,1173.0,149.0,8.3,-81.7,853.0,0.4,16.6,6.95,99.7,662.0,1200.0,546.0,650.0,5.0,145.0,5.0,120.0,108.1,122.2,23.92,20.23,92.2,8.9,24.5,20.79,93.1,9.2,0.21,0.18,0.17,0.01,6.28,6.4,2.5,1.0,,60.0,42.0,,,3200.0,0.5,10.0,0.5,10.0,0.5,29.0,2.0,2.0,3.0,1.0,0.5,0.5,0.5,0.02,111.0,133.0,0.5,10.0,459.0,10.0,66.0,575.0,10.0,10.0,10.0,10.0,0.05,10924.0,617.0,10.0,,0.001,0.0005,0.0005,0.019,,,880.0,,,,744.62,,98.46,,16635.38,661.54,,,2019,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Colavi - Canutillos,BC7-113,2019-04-22,14:40,April 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.64,65 33 7.62,-19.3216,-65.5521,0.589,0.0,2010.0,134.8,3.34,199.5,498.0,0.2,14.1,6.63,100.2,74.7,279.0,272.0,3.0,4.0,113.4,2.5,2.5,30.8,154.6,19.82,15.02,7.6,3.0,20.35,15.62,8.1,3.4,0.15,0.03,0.93,0.01,1.25,2.9,2.5,1.0,,0.0,0.0,,,4.0,0.5,10.0,0.5,10.0,0.5,3.0,3.0,4.0,5.0,6.0,0.5,0.5,0.5,0.02,112.0,491.0,0.5,10.0,2253.0,10.0,343.0,564.0,10.0,10.0,10.0,10.0,0.325,7967.0,10.0,10.0,,0.001,0.0005,0.002,0.019,,,186333.33,,,,,,113000.0,,2618333.33,750000.0,,,2019,,106.67,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Colavi - Canutillos,BC7-113,2019-03-13,13:35,March 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.64,65 33 7.56,-19.3216,-65.5521,0.803,1.0,1914.0,135.5,3.49,189.7,522.0,0.2,12.0,6.97,100.2,139.0,527.0,402.0,125.0,,284.9,2.5,2.5,11.4,241.7,95.06,11.54,34.7,7.1,96.96,11.92,35.4,7.2,,,,,,,2.5,1.0,,,,,,,0.5,10.0,0.5,10.0,3.0,7464.0,37.0,694.0,1431.0,0.5,7.0,5.0,0.5,0.02,9369.0,61.0,1.0,10.0,3003.0,10.0,332.0,649.0,10.0,10.0,10.0,10.0,0.05,7845.0,10.0,10.0,,,0.003,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,Potosi,3,March,Autumn (Transition),Oxic
Tarapaya,BTA-050,2019-03-13,8:55,March 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.66,65 47 39.96,-19.4718,-65.7944,0.81,1.0,1065.0,138.2,7.1,-10.8,938.0,0.4,11.4,7.18,98.1,1021.0,1616.0,744.0,872.0,,85.69,2.5,35.0,43.8,386.0,6.81,16.68,35.0,1.6,7.0,17.06,36.0,1.6,,,,,,,7.0,13.0,,,,,,,0.5,10.0,0.5,10.0,0.5,2884.0,26.0,24.0,14286.0,10.0,47.0,0.5,0.5,0.02,218.0,288.0,2.0,10.0,1643.0,10.0,600.0,10613.0,198.0,29.0,94.0,10.0,0.45,31693.0,134.0,10.0,,,0.0005,,,,,,105.96,215.6,,,,660.55,,36095.18,,,,2019,,0.52,,,,,,,,,,,Potosi,3,March,Autumn (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2019-03-12,14:55,March 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 5.7,65 34 11.3,-19.1349,-65.5698,1.18,1.0,1665.0,144.2,8.4,-90.5,611.0,0.2,26.0,5.73,99.6,1650.0,4391.0,438.0,3953.0,,221.7,5.0,155.0,4.5,176.5,35.82,32.12,14.2,5.8,36.31,32.61,14.4,5.8,,,,,,,2.5,6.0,,,,,,,0.5,10.0,0.5,10.0,0.5,27.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,0.02,106.0,157.0,0.5,10.0,1480.0,48.0,134.0,240.0,10.0,10.0,62.0,10.0,0.05,64733.0,67.0,10.0,,,0.004,,,,,60.46,14.22,,,,,33.9,,16348.85,367.57,11.64,,2019,,,,,,,,,,,,,Potosi,3,March,Autumn (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2019-03-12,13:15,March 2019,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 57.024,65 34 20.67,-19.1325,-65.5724,2.094,28.0,1638.0,146.4,8.31,-81.1,610.0,0.2,21.3,6.28,99.9,1650.0,4172.0,392.0,3780.0,,119.3,5.0,105.0,66.2,102.6,26.23,13.08,57.2,5.8,26.47,13.08,56.5,6.1,,,,,,,2.5,6.0,,,,,,,0.5,10.0,0.5,10.0,0.5,18.0,1.0,6.0,13.0,5.0,0.5,0.5,0.5,0.02,107.0,702.0,1.0,10.0,1298.0,31.0,120.0,512.0,34.0,10.0,40.0,10.0,0.325,49750.0,374.0,10.0,,,0.005,,,,,132.01,9.05,7.67,,,,30.16,,13133.07,338.62,7.94,,2019,,0.08,,,,,,,,,,,Potosi,3,March,Autumn (Transition),Oxic
Colavi - Canutillos,BC7-113,2020-12-16,12:55,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 18.06""","65° 33' 7.26""",-19.3217,-65.552,0.394,0.0,3300.0,132.9,5.66,74.6,302.0,0.1,18.1,6.03,99.3,39.4,1202.0,1106.0,96.0,,140.0,0.05,30.0,2.8,131.0,24.12,19.4,2.57,3.29,29.84,16.64,1.14,1.94,,,,,,,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,4000.0,19.0,215.0,810.0,0.5,2.0,0.5,2.5,0.25,800.0,60.0,0.5,5.0,4000.0,20.0,253.0,830.0,0.5,2.0,2.0,2.5,0.25,6000.0,70.0,0.5,,,0.0005,,,,,208.33,,,,104.17,0.0,395.83,,54166.67,0.0,10.42,,2020,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Tarapaya,BTA-050,2020-12-16,8:45,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.84""","65° 47' 39.42""",-19.4719,-65.7943,0.446,0.0,642.5,123.1,7.78,-44.85,1555.0,0.7,14.1,6.05,88.0,242.0,1311.0,1164.0,147.0,,472.0,14.7,181.0,111.0,453.8,147.2,24.93,112.39,26.03,152.1,20.78,98.41,26.15,,,,,,,47.0,59.0,,,,,,,5.0,5.0,25.0,25.0,5.0,1800.0,11.0,17.0,920.0,35.0,2.0,0.5,2.5,0.25,400.0,400.0,0.5,5.0,1900.0,11.0,85.0,3880.0,160.0,10.0,19.0,2.5,0.25,14000.0,400.0,3.0,,,0.0005,,,,20.41,20136.05,,850.34,,0.0,54.42,462.59,,92517.01,680.27,0.0,,2020,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2020-12-15,14:45,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 7' 56.22""","65° 34' 11.76""",-19.1323,-65.5699,0.863,0.0,1258.0,142.8,8.36,-79.6,794.0,0.3,26.4,5.62,98.9,78.3,710.0,625.0,85.0,,400.0,10.3,215.5,10.16,164.2,25.81,63.7,20.46,11.38,43.81,59.56,18.1,10.9,,,,,,,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,0.5,0.25,0.5,2.5,0.25,50.0,200.0,0.5,5.0,100.0,1.0,5.0,25.0,0.5,0.25,1.0,2.5,0.25,4000.0,200.0,0.5,,,0.0005,,,,,,,,,0.0,,,,47058.82,1176.47,11.76,,2020,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2020-12-15,13:45,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.7""","65° 34' 21.48""",-19.1324,-65.5726,0.862,4.0,902.0,143.9,8.38,-81.7,1108.0,0.5,23.8,5.91,98.85,343.0,750.0,718.0,32.0,,252.0,16.0,161.5,162.63,127.7,56.26,26.31,121.87,16.19,56.71,24.38,105.03,14.51,,,,,,,2.5,5.0,,,,,,,5.0,5.0,25.0,25.0,5.0,200.0,1.0,5.0,25.0,18.0,0.25,0.5,2.5,0.25,50.0,1600.0,0.5,5.0,400.0,5.0,5.0,210.0,31.0,0.25,9.0,2.5,0.25,11000.0,1800.0,0.5,,,0.0005,,,,,6562.5,,406.25,,6250.0,,,,343750.0,6250.0,125.0,,2020,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
San Antonio - Potosí,BSA-030,2020-07-23,10:30,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.7,65 48 11.9,-19.5783,-65.8033,,,,,,,867.0,,,,,121.0,629.0,539.0,90.0,2.5,228.0,,,57.1,74.0,45.4,9.8,25.8,13.8,49.1,11.2,82.5,14.2,,,24.1,0.013,0.4,,,110.0,,,,,,,5.0,5.0,25.0,25.0,5.0,800.0,6.0,13.0,4000.0,6.0,5.0,0.5,2.5,0.25,50.0,300.0,0.5,5.0,900.0,7.0,73.0,7000.0,55.0,13.0,15.0,2.5,2.9,7000.0,300.0,5.0,,0.002,,0.064,,,55.56,33333.33,13.33,544.44,,0.0,88.89,666.67,,77777.78,1111.11,11.11,,2020,,32.22,,7.248,3.0,,,,,,,,Potosi,7,July,Winter (Dry),
Tarapaya,BTA-050,2020-07-23,10:00,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,,,,,,,1105.0,,,,,473.0,1074.0,745.0,329.0,28.0,213.0,,,70.6,180.0,37.4,12.8,88.0,28.1,39.9,14.7,100.0,80.2,,,53.3,0.012,0.8,,,360.0,,4600000.0,1500000.0,,,,5.0,5.0,25.0,25.0,5.0,1700.0,16.0,26.0,11000.0,2.0,30.0,0.5,2.5,3.0,50.0,300.0,0.5,5.0,1900.0,24.0,624.0,25000.0,397.0,79.0,632.0,9.0,5.2,53000.0,300.0,7.0,,0.002,,0.062,,,21.28,42553.19,1835.56,1200.61,,0.0,148.94,1817.63,,161094.22,607.9,24.32,27.36,2020,,6.69,,6.883,14.0,,,,,,,,Potosi,7,July,Winter (Dry),
San Antonio - Potosí,BSA-030,2020-07-20,8:41,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.7,65 48 11.9,-19.5783,-65.8033,,,,,6.61,,1360.0,,5.4,,,222.0,1137.0,977.0,160.0,7.0,413.0,,,76.9,370.0,74.6,21.4,101.0,29.2,83.6,23.0,104.0,32.2,,,45.7,0.143,1.2,,65.0,100.0,,,46000000.0,,,,5.0,5.0,25.0,25.0,5.0,2900.0,12.0,35.0,11000.0,1.0,39.0,0.5,2.5,0.25,100.0,400.0,0.5,5.0,3300.0,34.0,478.0,36000.0,144.0,83.0,21.0,2.5,1.7,25000.0,400.0,6.0,,0.002,,0.024,,,37.5,156250.0,,893.75,,0.0,275.0,2768.75,,155625.0,2500.0,137.5,,2020,,10.63,,6.99,11.0,,,,,,,,Potosi,7,July,Winter (Dry),
Tarapaya,BTA-050,2020-07-20,7:56,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,,,,,7.08,,810.0,,4.5,,,117.0,687.0,574.0,113.0,5.0,231.0,,,61.0,73.0,45.4,9.5,90.0,17.2,54.4,10.0,96.0,20.4,,,20.0,0.025,0.9,,86.0,124.0,,,4300000.0,,,,5.0,5.0,25.0,25.0,5.0,800.0,7.0,10.0,3110.0,6.0,0.25,0.5,2.5,0.25,50.0,300.0,0.5,5.0,900.0,8.0,110.0,7460.0,75.0,19.0,24.0,2.5,1.9,10000.0,300.0,6.0,,0.002,,0.022,,,53.1,38495.58,60.18,610.62,,0.0,168.14,884.96,,88495.58,884.96,8.85,,2020,,16.81,,7.788,3.1,,,,,,,,Potosi,7,July,Winter (Dry),
Tarapaya,BTA-050,2020-07-15,10:00,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,,,,,,,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,6.904,,,,,,,,,Potosi,7,July,Winter (Dry),
Colavi - Canutillos,BC7-113,2020-03-18,8:47,March 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.58""","65° 33' 7.32""",-19.3216,-65.552,,,3380.0,136.85,5.46,82.2,295.0,0.0,9.6,7.42,100.55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,25.0,25.0,5.0,4000.0,28.0,50.0,590.0,0.5,2.0,0.5,2.5,0.25,800.0,50.0,0.5,80.0,11000.0,105.0,361.0,1130.0,34.0,3.0,140.0,2.5,0.25,115000.0,300.0,5.0,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,Potosi,3,March,Autumn (Transition),Oxic
Chuquiago,BCH-060,2021-12-02,15:20,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 41.172""","65° 38' 51.504""",-21.5614,-65.6476,,,806.0,189.7,8.55,-105.5,1242.0,0.6,25.5,7.58,131.6,21.1,1075.0,1018.0,55.0,5.0,480.0,6.0,138.5,60.66,494.3,96.86,56.18,72.92,7.56,95.19,59.32,75.89,7.71,0.2,0.1,0.48,0.01,1.52,4.34,13.0,17.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,2.0,0.25,0.5,2.5,0.25,50.0,2000.0,0.5,5.0,25.0,0.5,5.0,25.0,3.0,0.25,1.0,2.5,0.25,900.0,3000.0,0.5,,0.001,0.0005,0.048,,,,,,18.18,,18181.82,,,,16363.64,,,,2021,,,,,,42.0,20.0,320.0,,,,,Potosi,12,December,Summer (Wet),Oxic
