Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,17.7,36.0,0.036,491.6666666666667,2.6916707655945196,6.18,Oxic,8.4,1.92,350.0,0.96,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,42.7,137.0,0.137,311.6788321167883,2.493707307868617,6.18,Oxic,8.4,1.92,350.0,0.96,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,6.4,18.0,0.018,355.5555555555556,2.550907468880581,6.18,Oxic,8.4,2.54,511.0,1.35,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.05,0.5,0.0005,100.0,2.0,6.18,Oxic,8.4,2.54,511.0,1.35,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,8.56,36.0,0.036,237.7777777777778,2.376171263909866,6.18,Oxic,8.4,2.54,511.0,1.35,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,25.5,137.0,0.137,186.13138686131384,2.2698196132775483,6.18,Oxic,8.4,2.54,511.0,1.35,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,6.5,18.0,0.018,361.11111111111114,2.5576408515395497,6.18,Oxic,8.3,2.21,387.0,1.61,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.06,0.5,0.0005,120.0,2.0791812460476247,6.18,Oxic,8.3,2.21,387.0,1.61,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,19.1,36.0,0.036,530.5555555555557,2.7247308664804404,6.18,Oxic,8.3,2.21,387.0,1.61,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,45.0,137.0,0.137,328.4671532846715,2.516491946618937,6.18,Oxic,8.3,2.21,387.0,1.61,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,5.7,18.0,0.018,316.6666666666667,2.5006023505691855,6.18,Oxic,8.3,1.8,348.0,0.89,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.04,0.5,0.0005,80.0,1.9030899869919435,6.18,Oxic,8.3,1.8,348.0,0.89,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,16.3,36.0,0.036,452.7777777777778,2.6558851036366704,6.18,Oxic,8.3,1.8,348.0,0.89,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,39.1,137.0,0.137,285.4014598540146,2.45545619023946,6.18,Oxic,8.3,1.8,348.0,0.89,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,5.6,18.0,0.018,311.11111111111114,2.4929155219028942,6.18,Oxic,8.3,1.75,321.0,0.76,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.005,0.5,0.0005,10.0,1.0,6.18,Oxic,8.3,1.75,321.0,0.76,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,13.4,36.0,0.036,372.2222222222223,2.5708022975975204,6.18,Oxic,8.3,1.75,321.0,0.76,0.5,0.42
