Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,December 2017,Cadmium,0.04,1.0,0.001,40.0,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Lead,7.3,176.0,0.176,41.47727272727273,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Zinc,29.3,499.0,0.499,58.71743486973948,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,October 2017,Arsenic,7.4,64.0,0.064,115.625,7.9,3.0,73.93,1.33,Bolivia (Non-Mining)
Villamontes,October 2017,Cadmium,0.13,1.0,0.001,130.0,7.9,3.0,73.93,1.33,Bolivia (Non-Mining)
Villamontes,October 2017,Lead,11.4,145.0,0.145,78.62068965517243,7.9,3.0,73.93,1.33,Bolivia (Non-Mining)
Villamontes,October 2017,Zinc,33.6,552.0,0.552,60.869565217391305,7.9,3.0,73.93,1.33,Bolivia (Non-Mining)
Villamontes,August 2017,Arsenic,2.8,10.0,0.01,280.0,7.8,1.0,96.93,0.65,Bolivia (Non-Mining)
Villamontes,August 2017,Cadmium,0.02,0.5,0.0005,40.0,7.8,1.0,96.93,0.65,Bolivia (Non-Mining)
Villamontes,August 2017,Lead,6.23,1.0,0.001,6230.0,7.8,1.0,96.93,0.65,Bolivia (Non-Mining)
Villamontes,August 2017,Zinc,29.7,10.0,0.01,2970.0,7.8,1.0,96.93,0.65,Bolivia (Non-Mining)
Villamontes,August 2017,Arsenic,7.2,10.0,0.01,720.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Cadmium,0.09,0.5,0.0005,180.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Lead,14.3,1.0,0.001,14300.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Zinc,62.0,10.0,0.01,6200.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Arsenic,3.2,10.0,0.01,320.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Cadmium,0.04,0.5,0.0005,80.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Lead,6.92,1.0,0.001,6920.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Zinc,30.0,10.0,0.01,3000.0,8.4,1.0,93.93,0.6,Bolivia (Non-Mining)
Villamontes,August 2017,Arsenic,2.0,10.0,0.01,200.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Cadmium,0.005,0.5,0.0005,10.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Lead,6.85,1.0,0.001,6849.999999999999,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Zinc,28.8,10.0,0.01,2880.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Arsenic,1.0,10.0,0.01,100.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Cadmium,0.04,0.5,0.0005,80.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Lead,4.92,1.0,0.001,4920.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,August 2017,Zinc,20.0,10.0,0.01,2000.0,8.8,1.0,97.93,0.35,Bolivia (Non-Mining)
Villamontes,March 2017,Arsenic,15.3,121.0,0.121,126.44628099173555,8.3,2.0,75.98,0.75,Bolivia (Non-Mining)
Villamontes,March 2017,Cadmium,0.25,3.0,0.003,83.33333333333333,8.3,2.0,75.98,0.75,Bolivia (Non-Mining)
Villamontes,March 2017,Lead,17.2,236.0,0.236,72.88135593220339,8.3,2.0,75.98,0.75,Bolivia (Non-Mining)
Villamontes,March 2017,Zinc,87.3,561.0,0.561,155.61497326203207,8.3,2.0,75.98,0.75,Bolivia (Non-Mining)
Villamontes,March 2017,Arsenic,22.8,121.0,0.121,188.42975206611573,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Cadmium,0.28,3.0,0.003,93.33333333333334,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Lead,20.7,236.0,0.236,87.71186440677967,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Zinc,91.2,561.0,0.561,162.5668449197861,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Arsenic,13.7,121.0,0.121,113.22314049586777,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Cadmium,0.19,3.0,0.003,63.333333333333336,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Lead,14.1,236.0,0.236,59.74576271186441,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Zinc,57.9,561.0,0.561,103.2085561497326,7.9,2.0,83.47,0.65,Bolivia (Non-Mining)
Villamontes,March 2017,Arsenic,16.7,121.0,0.121,138.01652892561984,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Cadmium,0.28,3.0,0.003,93.33333333333334,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Lead,17.5,236.0,0.236,74.15254237288136,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Zinc,106.0,561.0,0.561,188.9483065953654,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Arsenic,15.2,121.0,0.121,125.6198347107438,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
