Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Colavi - Canutillos,August 2022,Zinc,153.43,899.0,0.899,170.6674082313682,2.2321505933074857,2.9,2.0,45.4,7.66,8.06,2.05488375,326.56,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2023,Arsenic,10.8,6.0,0.006,1800.0,3.255272505103306,2.6,1.0,65.96,2.65,6.9,1.0551,262.25,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2023,Cadmium,0.215,8.0,0.008,26.875,1.4293484729236619,2.6,1.0,65.96,2.65,6.9,1.0551,262.25,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2023,Lead,10.2,3.0,0.003,3399.9999999999995,3.531478917042255,2.6,1.0,65.96,2.65,6.9,1.0551,262.25,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2023,Zinc,88.5,2194.0,2.194,40.33728350045579,1.605706647459133,2.6,1.0,65.96,2.65,6.9,1.0551,262.25,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2017,Arsenic,21.8,393.0,0.393,55.470737913486005,1.7440639432291782,4.8,1.0,92.93,1.18,6.03,2.77,759.0,1.14,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,December 2017,Cadmium,0.17,36.0,0.036,4.722222222222223,0.6741464206109867,4.8,1.0,92.93,1.18,6.03,2.77,759.0,1.14,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,December 2017,Lead,23.1,91.0,0.091,253.84615384615387,2.4045705875710506,4.8,1.0,92.93,1.18,6.03,2.77,759.0,1.14,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,December 2017,Zinc,111.0,11491.0,11.491,9.659733704638413,0.9849651541380418,4.8,1.0,92.93,1.18,6.03,2.77,759.0,1.14,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,December 2020,Arsenic,23.549999999999997,0.5,0.0005,47099.99999999999,4.673020907128896,4.8,2.0,80.85,0.97,6.03,3.175,518.5,1.365,0.5,0.28500000000000003,0.0335,Potosí (Mining Zone)
Colavi - Canutillos,December 2020,Cadmium,0.115,2.0,0.002,57.5,1.7596678446896306,4.8,2.0,80.85,0.97,6.03,3.175,518.5,1.365,0.5,0.28500000000000003,0.0335,Potosí (Mining Zone)
Colavi - Canutillos,December 2020,Lead,23.15,2.0,0.002,11574.999999999998,4.063520999689991,4.8,2.0,80.85,0.97,6.03,3.175,518.5,1.365,0.5,0.28500000000000003,0.0335,Potosí (Mining Zone)
Colavi - Canutillos,December 2020,Zinc,96.9,830.0,0.83,116.74698795180724,2.0672456846746914,4.8,2.0,80.85,0.97,6.03,3.175,518.5,1.365,0.5,0.28500000000000003,0.0335,Potosí (Mining Zone)
Colavi - Canutillos,December 2022,Arsenic,93.4,960.0,0.96,97.29166666666667,1.9880756431905249,3.2,2.0,46.4,7.4,7.2,6.053,176.0,,,,,Potosí (Mining Zone)
