Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Puente Mendez,August 2016,2016-08-01,Cadmium,0.44,1.3,0.0013,338.46153846153845,2.5295093241793505,8.1,,,8.77,1.76,321.0,1.21,0.5,0.27,0.09,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Lead,43.0,31.0,0.031,1387.0967741935483,3.142106761745314,8.1,,,8.77,1.76,321.0,1.21,0.5,0.27,0.09,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Zinc,114.0,355.0,0.355,321.1267605633803,2.5066764982813785,8.1,,,8.77,1.76,321.0,1.21,0.5,0.27,0.09,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Arsenic,12.3,22.0,0.022,559.0909090909091,2.747482430617192,7.8,2.0,1.08,8.32,2.13,490.0,1.35,0.5,0.66,0.043,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Cadmium,0.32,1.0,0.001,320.0,2.505149978319906,7.8,2.0,1.08,8.32,2.13,490.0,1.35,0.5,0.66,0.043,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Lead,16.4,5.0,0.005,3279.9999999999995,3.515873843711679,7.8,2.0,1.08,8.32,2.13,490.0,1.35,0.5,0.66,0.043,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Zinc,141.0,99.0,0.099,1424.2424242424242,3.15358391805783,7.8,2.0,1.08,8.32,2.13,490.0,1.35,0.5,0.66,0.043,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Arsenic,5.6,22.0,0.022,254.54545454545453,2.405765346183994,8.2,1.0,0.4,8.32,1.49,277.0,0.9,0.5,0.44,0.032,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Cadmium,0.06,1.0,0.001,60.0,1.7781512503836436,8.2,1.0,0.4,8.32,1.49,277.0,0.9,0.5,0.44,0.032,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Lead,10.1,5.0,0.005,2020.0,3.305351369446624,8.2,1.0,0.4,8.32,1.49,277.0,0.9,0.5,0.44,0.032,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Zinc,38.8,99.0,0.099,391.91919191919186,2.593196530996657,8.2,1.0,0.4,8.32,1.49,277.0,0.9,0.5,0.44,0.032,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Arsenic,4.5,22.0,0.022,204.54545454545456,2.3107898329531373,8.2,1.0,0.4,8.32,1.09,211.0,0.86,0.5,0.4,0.029,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Cadmium,0.005,1.0,0.001,5.0,0.6989700043360189,8.2,1.0,0.4,8.32,1.09,211.0,0.86,0.5,0.4,0.029,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Lead,9.5,5.0,0.005,1900.0,3.278753600952829,8.2,1.0,0.4,8.32,1.09,211.0,0.86,0.5,0.4,0.029,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Zinc,31.7,99.0,0.099,320.2020202020202,2.5054240676202015,8.2,1.0,0.4,8.32,1.09,211.0,0.86,0.5,0.4,0.029,Bolivia (Non-Mining)
