Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
El Puente,March 2019,2019-03-14,Arsenic,10.3,20.0,0.02,515.0,2.711807229041191,8.3,3.0,1.2,6.8,4.72,432.0,2.05,0.5,1.2,0.092,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Cadmium,0.23,10.0,0.01,23.0,1.3617278360175928,8.3,3.0,1.2,6.8,4.72,432.0,2.05,0.5,1.2,0.092,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Lead,27.0,43.0,0.043,627.9069767441861,2.7978953085794007,8.3,3.0,1.2,6.8,4.72,432.0,2.05,0.5,1.2,0.092,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Zinc,127.0,265.0,0.265,479.2452830188679,2.680557847019149,8.3,3.0,1.2,6.8,4.72,432.0,2.05,0.5,1.2,0.092,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Arsenic,10.3,20.0,0.02,515.0,2.711807229041191,8.3,3.0,1.2,6.8,2.69,268.0,1.92,0.5,0.81,0.068,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Cadmium,0.2,10.0,0.01,20.0,1.3010299956639813,8.3,3.0,1.2,6.8,2.69,268.0,1.92,0.5,0.81,0.068,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Lead,21.6,43.0,0.043,502.32558139534893,2.7009852955713445,8.3,3.0,1.2,6.8,2.69,268.0,1.92,0.5,0.81,0.068,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Zinc,88.5,265.0,0.265,333.9622641509434,2.5236973967610177,8.3,3.0,1.2,6.8,2.69,268.0,1.92,0.5,0.81,0.068,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Arsenic,11.7,20.0,0.02,585.0,2.7671558660821804,8.3,3.0,1.2,6.8,2.48,288.0,1.96,0.5,1.2,0.05,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Cadmium,0.17,10.0,0.01,17.0,1.2304489213782739,8.3,3.0,1.2,6.8,2.48,288.0,1.96,0.5,1.2,0.05,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Lead,18.8,43.0,0.043,437.20930232558146,2.6406893936840934,8.3,3.0,1.2,6.8,2.48,288.0,1.96,0.5,1.2,0.05,Bolivia (Non-Mining)
El Puente,March 2019,2019-03-14,Zinc,83.1,265.0,0.265,313.58490566037733,2.496355149847303,8.3,3.0,1.2,6.8,2.48,288.0,1.96,0.5,1.2,0.05,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Arsenic,17.6,3.0,0.003,5866.666666666667,3.7683914130944873,8.1,2.0,2.44,6.885,2.57,438.0,1.79,0.5,1.29,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Cadmium,0.38,0.25,0.00025,1520.0,3.1818435879447726,8.1,2.0,2.44,6.885,2.57,438.0,1.79,0.5,1.29,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Lead,30.9,5.0,0.005,6180.0,3.790988475088816,8.1,2.0,2.44,6.885,2.57,438.0,1.79,0.5,1.29,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Zinc,129.0,25.0,0.025,5160.0,3.7126497016272113,8.1,2.0,2.44,6.885,2.57,438.0,1.79,0.5,1.29,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Arsenic,12.3,3.0,0.003,4100.0,3.6127838567197355,8.3,1.0,0.35,6.885,2.39,224.0,1.48,0.5,0.76,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Cadmium,0.2,0.25,0.00025,800.0,2.9030899869919438,8.3,1.0,0.35,6.885,2.39,224.0,1.48,0.5,0.76,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Lead,20.0,5.0,0.005,4000.0,3.6020599913279625,8.3,1.0,0.35,6.885,2.39,224.0,1.48,0.5,0.76,0.046,Bolivia (Non-Mining)
El Puente,December 2020,2020-12-17,Zinc,93.1,25.0,0.025,3723.9999999999995,3.5710096723093048,8.3,1.0,0.35,6.885,2.39,224.0,1.48,0.5,0.76,0.046,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Arsenic,15.7,3.0,0.003,5233.333333333333,3.7187783976895714,8.1,0.5,0.27,8.46,3.47,383.0,1.44,0.5,1.14,0.097,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Cadmium,0.24,0.25,0.00025,960.0,2.9822712330395684,8.1,0.5,0.27,8.46,3.47,383.0,1.44,0.5,1.14,0.097,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Lead,30.4,0.5,0.0005,60799.99999999999,4.783903579272735,8.1,0.5,0.27,8.46,3.47,383.0,1.44,0.5,1.14,0.097,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Zinc,110.0,25.0,0.025,4400.0,3.6434526764861874,8.1,0.5,0.27,8.46,3.47,383.0,1.44,0.5,1.14,0.097,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Arsenic,10.4,3.0,0.003,3466.6666666666665,3.539912084579118,8.1,0.5,0.27,8.46,2.62,288.0,1.95,0.5,1.99,0.064,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Cadmium,0.14,0.25,0.00025,560.0,2.7481880270062002,8.1,0.5,0.27,8.46,2.62,288.0,1.95,0.5,1.99,0.064,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Lead,20.7,0.5,0.0005,41400.0,4.617000341120899,8.1,0.5,0.27,8.46,2.62,288.0,1.95,0.5,1.99,0.064,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Zinc,76.3,25.0,0.025,3051.9999999999995,3.484584529282843,8.1,0.5,0.27,8.46,2.62,288.0,1.95,0.5,1.99,0.064,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Arsenic,15.2,3.0,0.003,5066.666666666666,3.70472233322511,8.1,1.0,0.54,8.46,3.2,349.0,1.56,0.5,1.14,0.093,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Cadmium,0.23,0.25,0.00025,920.0,2.963787827345555,8.1,1.0,0.54,8.46,3.2,349.0,1.56,0.5,1.14,0.093,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Lead,30.2,0.5,0.0005,60400.0,4.781036938621132,8.1,1.0,0.54,8.46,3.2,349.0,1.56,0.5,1.14,0.093,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Zinc,111.0,25.0,0.025,4440.0,3.6473829701146196,8.1,1.0,0.54,8.46,3.2,349.0,1.56,0.5,1.14,0.093,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Arsenic,10.9,3.0,0.003,3633.3333333333335,3.560305243220961,8.1,1.0,0.54,8.46,2.44,267.0,1.74,0.5,1.89,0.057,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Cadmium,0.2,0.25,0.00025,800.0,2.9030899869919438,8.1,1.0,0.54,8.46,2.44,267.0,1.74,0.5,1.89,0.057,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Lead,21.5,0.5,0.0005,43000.0,4.633468455579586,8.1,1.0,0.54,8.46,2.44,267.0,1.74,0.5,1.89,0.057,Bolivia (Non-Mining)
El Puente,November 2021,2021-11-10,Zinc,80.1,25.0,0.025,3203.9999999999995,3.5056925074122,8.1,1.0,0.54,8.46,2.44,267.0,1.74,0.5,1.89,0.057,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Arsenic,11.5,3.0,0.003,3833.333333333333,3.583576585633949,7.1,1.0,0.39,9.13,2.34,241.0,1.64,0.5,0.82,0.054,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Cadmium,0.19,0.25,0.00025,760.0,2.8808135922807914,7.1,1.0,0.39,9.13,2.34,241.0,1.64,0.5,0.82,0.054,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Lead,22.9,2.0,0.002,11449.999999999998,4.058805486675907,7.1,1.0,0.39,9.13,2.34,241.0,1.64,0.5,0.82,0.054,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Zinc,83.5,25.0,0.025,3340.0,3.5237464668115646,7.1,1.0,0.39,9.13,2.34,241.0,1.64,0.5,0.82,0.054,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Arsenic,14.6,3.0,0.003,4866.666666666666,3.6872316010647745,7.1,1.0,0.39,9.13,4.87,433.0,1.46,0.5,1.05,0.1,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Cadmium,0.32,0.25,0.00025,1280.0,3.1072099696478683,7.1,1.0,0.39,9.13,4.87,433.0,1.46,0.5,1.05,0.1,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Lead,34.3,2.0,0.002,17150.0,4.2342641243787895,7.1,1.0,0.39,9.13,4.87,433.0,1.46,0.5,1.05,0.1,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Zinc,136.0,25.0,0.025,5440.0,3.73559889969818,7.1,1.0,0.39,9.13,4.87,433.0,1.46,0.5,1.05,0.1,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Arsenic,12.1,3.0,0.003,4033.333333333333,3.6056641155967877,7.39,0.5,0.32,9.13,2.5,243.0,1.39,0.5,0.74,0.056,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Cadmium,0.16,0.25,0.00025,640.0,2.806179973983887,7.39,0.5,0.32,9.13,2.5,243.0,1.39,0.5,0.74,0.056,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Lead,23.2,2.0,0.002,11600.0,4.064457989226918,7.39,0.5,0.32,9.13,2.5,243.0,1.39,0.5,0.74,0.056,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Zinc,84.6,25.0,0.025,3383.9999999999995,3.529430354366986,7.39,0.5,0.32,9.13,2.5,243.0,1.39,0.5,0.74,0.056,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Arsenic,15.9,3.0,0.003,5300.0,3.724275869600789,7.39,0.5,0.32,9.13,6.18,490.0,1.27,0.5,0.97,0.111,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Cadmium,0.33,0.25,0.00025,1320.0,3.12057393120585,7.39,0.5,0.32,9.13,6.18,490.0,1.27,0.5,0.97,0.111,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Lead,37.8,2.0,0.002,18900.0,4.276461804173244,7.39,0.5,0.32,9.13,6.18,490.0,1.27,0.5,0.97,0.111,Bolivia (Non-Mining)
El Puente,August 2021,2021-08-10,Zinc,148.0,25.0,0.025,5920.0,3.77232170672292,7.39,0.5,0.32,9.13,6.18,490.0,1.27,0.5,0.97,0.111,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Arsenic,5.0,5.0,0.005,1000.0,3.0,8.2,2.0,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Cadmium,0.5,0.005,5e-06,99999.99999999999,5.0,8.2,2.0,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Lead,10.0,0.5,0.0005,20000.0,4.301029995663981,8.2,2.0,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Zinc,57.0,1.0,0.001,57000.0,4.7558748556724915,8.2,2.0,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Arsenic,5.0,5.0,0.005,1000.0,3.0,8.2,2.0,1.16,8.5,1.407,238.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Cadmium,0.5,0.005,5e-06,99999.99999999999,5.0,8.2,2.0,1.16,8.5,1.407,238.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Lead,10.0,0.5,0.0005,20000.0,4.301029995663981,8.2,2.0,1.16,8.5,1.407,238.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Zinc,48.6,1.0,0.001,48600.0,4.686636269262293,8.2,2.0,1.16,8.5,1.407,238.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Arsenic,5.0,5.0,0.005,1000.0,3.0,8.2,2.0,1.16,8.5,1.766,390.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Cadmium,0.5,0.005,5e-06,99999.99999999999,5.0,8.2,2.0,1.16,8.5,1.766,390.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Lead,10.0,0.5,0.0005,20000.0,4.301029995663981,8.2,2.0,1.16,8.5,1.766,390.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,2022-12-05,Zinc,62.0,1.0,0.001,62000.0,4.7923916894982534,8.2,2.0,1.16,8.5,1.766,390.0,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Arsenic,8.79,5.0,0.005,1757.9999999999998,3.245018870737753,7.5,1.0,0.94,8.89,2.15481,268.31,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Cadmium,1.03,2.5,0.0025,412.0,2.6148972160331345,7.5,1.0,0.94,8.89,2.15481,268.31,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Lead,14.21,5.0,0.005,2842.0,3.4536240735914507,7.5,1.0,0.94,8.89,2.15481,268.31,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Zinc,73.87,426.0,0.426,173.4037558685446,2.2390584999182677,7.5,1.0,0.94,8.89,2.15481,268.31,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Arsenic,9.19,5.0,0.005,1837.9999999999998,3.264345507050092,7.5,1.0,0.94,8.89,2.3256367,273.37,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Cadmium,1.09,2.5,0.0025,436.0,2.639486489268586,7.5,1.0,0.94,8.89,2.3256367,273.37,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Lead,14.07,5.0,0.005,2814.0,3.449324093098727,7.5,1.0,0.94,8.89,2.3256367,273.37,,,,,Bolivia (Non-Mining)
El Puente,August 2022,2022-08-08,Zinc,78.18,426.0,0.426,183.5211267605634,2.2636860669935093,7.5,1.0,0.94,8.89,2.3256367,273.37,,,,,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Arsenic,12.8,5.0,0.005,2560.0,3.4082399653118496,8.5,3.0,0.88,8.76,2.39,285.0,1.67,0.5,0.87,0.045,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Cadmium,0.22,2.5,0.0025,88.0,1.9444826721501687,8.5,3.0,0.88,8.76,2.39,285.0,1.67,0.5,0.87,0.045,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Lead,19.6,5.0,0.005,3920.0,3.593286067020457,8.5,3.0,0.88,8.76,2.39,285.0,1.67,0.5,0.87,0.045,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Zinc,88.3,229.0,0.229,385.589519650655,2.5861252212376806,8.5,3.0,0.88,8.76,2.39,285.0,1.67,0.5,0.87,0.045,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Arsenic,15.3,5.0,0.005,3060.0,3.48572142648158,8.5,3.0,0.88,8.76,3.1,399.0,1.64,0.5,1.37,0.065,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Cadmium,0.35,2.5,0.0025,140.0,2.146128035678238,8.5,3.0,0.88,8.76,3.1,399.0,1.64,0.5,1.37,0.065,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Lead,30.2,5.0,0.005,6040.0,3.7810369386211318,8.5,3.0,0.88,8.76,3.1,399.0,1.64,0.5,1.37,0.065,Bolivia (Non-Mining)
El Puente,May 2022,2022-05-24,Zinc,105.0,229.0,0.229,458.51528384279476,2.66135381673005,8.5,3.0,0.88,8.76,3.1,399.0,1.64,0.5,1.37,0.065,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Arsenic,5.55,1438.0,1.438,3.859527121001391,0.5865340970758125,8.0,0.0,0.53,0.81,1.1221,191.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Cadmium,0.131,27.7,0.0277,4.729241877256318,0.6747915265913158,8.0,0.0,0.53,0.81,1.1221,191.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Lead,13.6,4050.0,4.05,3.358024691358025,0.526083885155549,8.0,0.0,0.53,0.81,1.1221,191.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Zinc,47.7,18462.0,18.462,2.5836854078648037,0.4122396324090119,8.0,0.0,0.53,0.81,1.1221,191.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Arsenic,6.6,1438.0,1.438,4.589707927677329,0.6617850494950048,8.0,0.0,0.53,0.81,0.7308,249.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Cadmium,0.286,27.7,0.0277,10.324909747292418,1.0138862640645945,8.0,0.0,0.53,0.81,0.7308,249.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Lead,28.9,4050.0,4.05,7.135802469135802,0.8534428195418793,8.0,0.0,0.53,0.81,0.7308,249.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,2023-12-05,Zinc,54.3,18462.0,18.462,2.941176470588235,0.46852108295774486,8.0,0.0,0.53,0.81,0.7308,249.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Arsenic,409.0,5.0,0.005,81800.0,4.912753303671323,7.7,0.51,0.67,8.02,2.9804,545.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Cadmium,17.8,0.25,0.00025,71200.0,4.852479993636856,7.7,0.51,0.67,8.02,2.9804,545.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Lead,457.0,2.0,0.002,228500.0,5.358886204405869,7.7,0.51,0.67,8.02,2.9804,545.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Zinc,3725.0,25.0,0.025,149000.0,5.173186268412274,7.7,0.51,0.67,8.02,2.9804,545.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Arsenic,802.0,5.0,0.005,160400.0,5.205204363948145,7.7,0.51,0.67,8.02,4.2551,1225.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Cadmium,28.1,0.25,0.00025,112400.0,5.050766311233042,7.7,0.51,0.67,8.02,4.2551,1225.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Lead,948.0,2.0,0.002,474000.0,5.675778341674085,7.7,0.51,0.67,8.02,4.2551,1225.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,2023-08-01,Zinc,6837.0,25.0,0.025,273480.0,5.4369255712280005,7.7,0.51,0.67,8.02,4.2551,1225.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Arsenic,5.0,5.0,0.005,1000.0,3.0,7.5,1.0,1.72,5.84,2.58,344.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Lead,10.0,6.0,0.006,1666.6666666666667,3.2218487496163566,7.5,1.0,1.72,5.84,2.58,344.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Zinc,98.3,10.0,0.01,9830.0,3.9925535178321354,7.5,1.0,1.72,5.84,2.58,344.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Arsenic,5.0,5.0,0.005,1000.0,3.0,7.5,1.0,1.72,5.84,3.55,464.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Lead,10.0,6.0,0.006,1666.6666666666667,3.2218487496163566,7.5,1.0,1.72,5.84,3.55,464.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,2023-01-24,Zinc,127.0,10.0,0.01,12700.0,4.103803720955957,7.5,1.0,1.72,5.84,3.55,464.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Arsenic,12.0,5.0,0.005,2400.0,3.380211241711606,8.5,7.2,1.34,9.0,2.1118,486.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Cadmium,5.0,25.0,0.025,200.0,2.3010299956639813,8.5,7.2,1.34,9.0,2.1118,486.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Lead,22.0,6.0,0.006,3666.6666666666665,3.5642714304385628,8.5,7.2,1.34,9.0,2.1118,486.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Zinc,115.0,2.0,0.002,57500.0,4.7596678446896306,8.5,7.2,1.34,9.0,2.1118,486.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Arsenic,17.0,5.0,0.005,3400.0,3.531478917042255,8.5,7.2,1.34,9.0,3.7705,710.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Cadmium,5.0,25.0,0.025,200.0,2.3010299956639813,8.5,7.2,1.34,9.0,3.7705,710.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Lead,31.0,6.0,0.006,5166.666666666667,3.7132104434506292,8.5,7.2,1.34,9.0,3.7705,710.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,2024-06-19,Zinc,138.0,2.0,0.002,69000.0,4.838849090737256,8.5,7.2,1.34,9.0,3.7705,710.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Arsenic,15.0,264.0,0.264,56.81818181818181,1.75448733218585,8.5,31.2,1.49,6.54,3.4339,369.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Cadmium,5.0,291.0,0.291,17.18213058419244,1.2350770153501116,8.5,31.2,1.49,6.54,3.4339,369.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Lead,20.0,1906.0,1.906,10.493179433368311,1.0209070993616736,8.5,31.2,1.49,6.54,3.4339,369.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Zinc,103.0,25.0,0.025,4120.0,3.6148972160331345,8.5,31.2,1.49,6.54,3.4339,369.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Arsenic,19.0,264.0,0.264,71.96969696969697,1.8571496740829978,8.5,31.2,1.49,6.54,4.448,480.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Cadmium,5.0,291.0,0.291,17.18213058419244,1.2350770153501116,8.5,31.2,1.49,6.54,4.448,480.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Lead,30.0,1906.0,1.906,15.739769150052467,1.196998358417355,8.5,31.2,1.49,6.54,4.448,480.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,2024-02-20,Zinc,113.0,25.0,0.025,4520.0,3.655138434811382,8.5,31.2,1.49,6.54,4.448,480.0,,,,,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,28.2,7.0,0.007,4028.5714285714284,3.6051510683051045,8.1,1.0,2.63,7.76,2.73,361.0,2.15,0.5,0.98,0.039,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.23,0.5,0.0005,460.0,2.662757831681574,8.1,1.0,2.63,7.76,2.73,361.0,2.15,0.5,0.98,0.039,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Lead,22.2,1.5,0.0015,14800.0,4.1702617153949575,8.1,1.0,2.63,7.76,2.73,361.0,2.15,0.5,0.98,0.039,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Zinc,99.8,12.5,0.0125,7983.999999999999,3.9022205282793148,8.1,1.0,2.63,7.76,2.73,361.0,2.15,0.5,0.98,0.039,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,23.1,7.0,0.007,3300.0,3.5185139398778875,8.1,1.0,2.63,7.76,2.76,345.0,2.21,0.5,0.78,0.033,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.14,0.5,0.0005,280.0,2.4471580313422194,8.1,1.0,2.63,7.76,2.76,345.0,2.21,0.5,0.78,0.033,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Lead,24.4,1.5,0.0015,16266.666666666666,4.211298567283048,8.1,1.0,2.63,7.76,2.76,345.0,2.21,0.5,0.78,0.033,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Zinc,100.0,12.5,0.0125,8000.0,3.9030899869919438,8.1,1.0,2.63,7.76,2.76,345.0,2.21,0.5,0.78,0.033,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,25.1,7.0,0.007,3585.714285714286,3.5545756814667815,8.0,2.0,3.4,7.76,3.27,402.0,2.17,0.5,0.83,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.15,0.5,0.0005,300.0,2.4771212547196626,8.0,2.0,3.4,7.76,3.27,402.0,2.17,0.5,0.83,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Lead,23.8,1.5,0.0015,15866.666666666666,4.200485698000831,8.0,2.0,3.4,7.76,3.27,402.0,2.17,0.5,0.83,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Zinc,118.0,12.5,0.0125,9440.0,3.974971994298069,8.0,2.0,3.4,7.76,3.27,402.0,2.17,0.5,0.83,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,14.5,7.0,0.007,2071.4285714285716,3.316269962220718,8.1,1.0,3.28,7.76,3.03,449.0,3.37,0.5,1.51,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.22,0.5,0.0005,440.0,2.6434526764861874,8.1,1.0,3.28,7.76,3.03,449.0,3.37,0.5,1.51,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Lead,26.2,1.5,0.0015,17466.666666666664,4.242210032264064,8.1,1.0,3.28,7.76,3.03,449.0,3.37,0.5,1.51,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Zinc,99.8,12.5,0.0125,7983.999999999999,3.9022205282793148,8.1,1.0,3.28,7.76,3.03,449.0,3.37,0.5,1.51,0.04,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,21.9,7.0,0.007,3128.5714285714284,3.4953460748258616,8.1,1.0,3.28,7.76,2.84,382.0,2.3,0.5,1.11,0.043,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.18,0.5,0.0005,360.0,2.5563025007672873,8.1,1.0,3.28,7.76,2.84,382.0,2.3,0.5,1.11,0.043,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Lead,22.5,1.5,0.0015,15000.0,4.176091259055681,8.1,1.0,3.28,7.76,2.84,382.0,2.3,0.5,1.11,0.043,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Zinc,95.6,12.5,0.0125,7647.999999999999,3.883547879268044,8.1,1.0,3.28,7.76,2.84,382.0,2.3,0.5,1.11,0.043,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Arsenic,57.3,7.0,0.007,8185.714285714285,3.9130565819531333,8.1,1.0,3.28,7.76,3.9,380.0,2.14,0.5,1.02,0.053,Bolivia (Non-Mining)
Palca Grande,November 2016,2016-11-17,Cadmium,0.18,0.5,0.0005,360.0,2.5563025007672873,8.1,1.0,3.28,7.76,3.9,380.0,2.14,0.5,1.02,0.053,Bolivia (Non-Mining)
